127.0.0.1 - - [07/Apr/2023:20:30:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:30:37 +0530] "GET /ekart/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:30:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:30:44 +0530] "GET /ekart/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:32:08 +0530] "GET /ekart/ HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:32:36 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:08 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:09 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:09 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:10 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:10 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:10 +0530] "GET /ekart/? HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:34:25 +0530] "GET /ekart/? HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:35:57 +0530] "GET /ekart/? HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:35:58 +0530] "GET /ekart/? HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:36:04 +0530] "GET /ekart/? HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:36:46 +0530] "GET /ekart/? HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:37:26 +0530] "GET /ekart/? HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:37:27 +0530] "GET /ekart/? HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:37:46 +0530] "GET /ekart/? HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:01 +0530] "GET /ekart/? HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:02 +0530] "GET /ekart/? HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:02 +0530] "GET /ekart/? HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:45 +0530] "GET /ekart/? HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:38:53 +0530] "GET /ekart/? HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:13 +0530] "GET /ekart/? HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:56 +0530] "GET /ekart/? HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:57 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:58 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:59 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:59 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:39:59 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:40:00 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:40:00 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:35 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:36 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:40 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:41 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:41 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:41 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:50:41 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:59:29 +0530] "GET /ekart/index.jsp HTTP/1.1" 200 2211
